exp_id,model,defense,r_lite_subset,aa_subset_acc,bias_aa,dev_aa,square_acc,subset_size,status,mode,dataset_name
preact_resnet18_pgd_at_seed0,preact_resnet18,pgd_at,0.36,0.3360000252723694,0.023999974727630602,0.023999974727630602,,500,ok,real,cifar10
preact_resnet18_fixed_mixed_at_seed0,preact_resnet18,fixed_mixed_at,0.374,0.3400000035762787,0.03399999642372131,0.03399999642372131,,500,ok,real,cifar10
