epoch,defense,lr,wall_time_sec,train_loss,train_acc,attack_mix,attack_counts,val_loss,val_acc,pgd7_val_acc
1,fgsm_at,0.0998458666866564,65.58785377442837,2.1889238715171815,0.189296875,"{""fgsm_rs"": 1.0}","{""fgsm_rs"": 100}",2.2086832736968995,0.2466,0.150390625
2,fgsm_at,0.0993844170297569,131.36403885670006,2.0427904510498047,0.232109375,"{""fgsm_rs"": 1.0}","{""fgsm_rs"": 100}",1.7572302476882935,0.3364,0.193359375
3,fgsm_at,0.09861849601988383,197.13330734148622,1.9919027805328369,0.25828125,"{""fgsm_rs"": 1.0}","{""fgsm_rs"": 100}",1.7332954425811768,0.3694,0.251953125
4,fgsm_at,0.09755282581475767,262.89644950814545,1.9512643432617187,0.26265625,"{""fgsm_rs"": 1.0}","{""fgsm_rs"": 100}",1.6667711143493653,0.3788,0.240234375
5,fgsm_at,0.09619397662556432,328.5572197660804,1.9184619617462157,0.27671875,"{""fgsm_rs"": 1.0}","{""fgsm_rs"": 100}",1.6429524366378785,0.391,0.2421875
6,fgsm_at,0.09455032620941838,394.22734825871885,1.8808831405639648,0.2803125,"{""fgsm_rs"": 1.0}","{""fgsm_rs"": 100}",1.6163279411315918,0.4186,0.2421875
7,fgsm_at,0.0926320082177046,459.87619200721383,1.8662218999862672,0.297578125,"{""fgsm_rs"": 1.0}","{""fgsm_rs"": 100}",1.5792910959243773,0.4376,0.26171875
8,fgsm_at,0.09045084971874737,525.6372528094798,1.8216703748703003,0.306796875,"{""fgsm_rs"": 1.0}","{""fgsm_rs"": 100}",1.4907743450164794,0.4504,0.2734375
9,fgsm_at,0.08802029828000155,591.4054003562778,1.8013616800308228,0.31609375,"{""fgsm_rs"": 1.0}","{""fgsm_rs"": 100}",1.474126466369629,0.4368,0.25
10,fgsm_at,0.08535533905932736,656.9549144227058,1.7763263607025146,0.326328125,"{""fgsm_rs"": 1.0}","{""fgsm_rs"": 100}",1.4309579662322998,0.4676,0.294921875
11,fgsm_at,0.08247240241650919,722.71177630499,1.7267874097824096,0.34328125,"{""fgsm_rs"": 1.0}","{""fgsm_rs"": 100}",1.4078001892089844,0.5066,0.25390625
12,fgsm_at,0.07938926261462365,788.3844416327775,1.7145965039730071,0.352421875,"{""fgsm_rs"": 1.0}","{""fgsm_rs"": 100}",1.3665070629119873,0.5168,0.30859375
13,fgsm_at,0.07612492823579743,854.134809313342,1.6942542326450347,0.36109375,"{""fgsm_rs"": 1.0}","{""fgsm_rs"": 100}",1.3311720420837403,0.5138,0.3046875
14,fgsm_at,0.07269952498697733,919.6793875657022,1.6723413610458373,0.36359375,"{""fgsm_rs"": 1.0}","{""fgsm_rs"": 100}",1.3143887784957886,0.5332,0.279296875
15,fgsm_at,0.06913417161825448,985.341908024624,1.6540641820430755,0.373125,"{""fgsm_rs"": 1.0}","{""fgsm_rs"": 100}",1.2179453565597533,0.5838,0.3359375
16,fgsm_at,0.06545084971874737,1051.097813256085,1.613981078863144,0.38359375,"{""fgsm_rs"": 1.0}","{""fgsm_rs"": 100}",1.2325620966911315,0.5796,0.322265625
17,fgsm_at,0.061672268192795275,1116.6510692741722,1.612704770565033,0.388671875,"{""fgsm_rs"": 1.0}","{""fgsm_rs"": 100}",1.1880133791923524,0.577,0.337890625
18,fgsm_at,0.05782172325201154,1182.3124088477343,1.5711227369308471,0.399453125,"{""fgsm_rs"": 1.0}","{""fgsm_rs"": 100}",1.1704892136573792,0.5834,0.361328125
19,fgsm_at,0.053922954786392245,1247.9816262777895,1.563933848142624,0.4078125,"{""fgsm_rs"": 1.0}","{""fgsm_rs"": 100}",1.155135603427887,0.6004,0.3359375
20,fgsm_at,0.049999999999999996,1313.637337161228,1.5377218151092529,0.416796875,"{""fgsm_rs"": 1.0}","{""fgsm_rs"": 100}",1.1095595876693725,0.6244,0.349609375
21,fgsm_at,0.046077045213607754,1379.2958458531648,1.5159362280368804,0.423984375,"{""fgsm_rs"": 1.0}","{""fgsm_rs"": 100}",1.0759615209579467,0.6314,0.341796875
22,fgsm_at,0.042178276747988463,1444.9532607328147,1.5055489230155945,0.42828125,"{""fgsm_rs"": 1.0}","{""fgsm_rs"": 100}",1.052691544342041,0.6372,0.361328125
23,fgsm_at,0.03832773180720473,1510.616549268365,1.472568563222885,0.44,"{""fgsm_rs"": 1.0}","{""fgsm_rs"": 100}",1.0619379945755005,0.6266,0.37109375
24,fgsm_at,0.034549150281252626,1576.2730948682874,1.459698280096054,0.449296875,"{""fgsm_rs"": 1.0}","{""fgsm_rs"": 100}",1.0410476380348206,0.639,0.35546875
