epoch,defense,lr,wall_time_sec,train_loss,train_acc,attack_mix,attack_counts,val_loss,val_acc
1,standard,0.09996145181203615,86.02179907821119,1.9925665753682456,0.30246666667196487,"{""clean"": 1.0}","{""clean"": 352}",1.5822452964782714,0.425
2,standard,0.0998458666866564,172.14025275595486,1.4252325262917414,0.4792666666984558,"{""clean"": 1.0}","{""clean"": 352}",1.4480253284454345,0.4888
3,standard,0.09965342284774632,258.3744174707681,1.1682996793217129,0.5815111110899184,"{""clean"": 1.0}","{""clean"": 352}",1.1741272193908692,0.5976
4,standard,0.0993844170297569,344.67538725584745,0.9855486518436009,0.6494444444444445,"{""clean"": 1.0}","{""clean"": 352}",0.9259699558258057,0.6788
5,standard,0.09903926402016153,430.84741775505245,0.825680589527554,0.7080888888888889,"{""clean"": 1.0}","{""clean"": 352}",0.7946403369903564,0.7302
6,standard,0.09861849601988383,517.0116212051362,0.7035117941538492,0.7536444444656372,"{""clean"": 1.0}","{""clean"": 352}",0.669030527305603,0.7666
7,standard,0.09812276182268237,603.2101047746837,0.6278529914961921,0.7837333333651225,"{""clean"": 1.0}","{""clean"": 352}",0.7884637905120849,0.7326
8,standard,0.0975528258147577,689.1592947561294,0.5716748175409105,0.8021555556085375,"{""clean"": 1.0}","{""clean"": 352}",0.6248129871368409,0.7968
9,standard,0.09690956679612422,775.3082030098885,0.5353247120486365,0.8147111110793219,"{""clean"": 1.0}","{""clean"": 352}",0.7129826495170594,0.757
10,standard,0.09619397662556435,861.2560047078878,0.5129927085982429,0.8237111110899183,"{""clean"": 1.0}","{""clean"": 352}",0.6809525564193726,0.773
11,standard,0.09540715869125407,947.2003688756377,0.492930395910475,0.8308444444126553,"{""clean"": 1.0}","{""clean"": 352}",0.5787347058296204,0.8036
12,standard,0.0945503262094184,1033.3460706043988,0.4706072523646884,0.8386222222222223,"{""clean"": 1.0}","{""clean"": 352}",0.5576030403137207,0.8096
13,standard,0.09362480035363988,1119.4980331603438,0.4556225777837965,0.8423111111111111,"{""clean"": 1.0}","{""clean"": 352}",0.6348332496643067,0.7932
14,standard,0.09263200821770462,1205.4315734561533,0.4385688046985202,0.8493999999682108,"{""clean"": 1.0}","{""clean"": 352}",0.6088836502075196,0.793
15,standard,0.09157348061512728,1291.3788908459246,0.4260464626630147,0.8543555556085375,"{""clean"": 1.0}","{""clean"": 352}",0.5896757637023926,0.8074
16,standard,0.09045084971874738,1377.3510590530932,0.41896483358807035,0.8557999999682109,"{""clean"": 1.0}","{""clean"": 352}",0.5349715259552001,0.8226
17,standard,0.08926584654403726,1463.5279462486506,0.4049377381854587,0.8608888888676961,"{""clean"": 1.0}","{""clean"": 352}",0.511114062833786,0.8218
18,standard,0.08802029828000157,1549.473897015676,0.3928689461814033,0.8648888888994852,"{""clean"": 1.0}","{""clean"": 352}",0.6214135820388794,0.8044
19,standard,0.0867161254717843,1635.4290773700923,0.3826263376924727,0.8686444444550409,"{""clean"": 1.0}","{""clean"": 352}",0.5587432364463806,0.823
20,standard,0.08535533905932739,1721.5935461316258,0.3768790325270759,0.8703111111323039,"{""clean"": 1.0}","{""clean"": 352}",0.5617590021133423,0.8158
21,standard,0.08394003727664712,1807.5490621123463,0.3658618971294827,0.8753111111005147,"{""clean"": 1.0}","{""clean"": 352}",0.6270629064559936,0.7868
22,standard,0.08247240241650922,1893.4993837494403,0.3554243330001831,0.8793999999682108,"{""clean"": 1.0}","{""clean"": 352}",0.5426098669052124,0.8254
23,standard,0.08095469746549172,1979.7115136478096,0.34665445173051623,0.8813777777989705,"{""clean"": 1.0}","{""clean"": 352}",0.5406934379577637,0.8286
