class,num_samples,robust_acc
0,48,0.0
1,44,0.0
2,44,0.5
3,51,0.0
4,56,0.32142857142857145
5,58,0.0
6,47,0.0
7,48,0.0
8,49,0.12244897959183673
9,55,0.0
