class,num_samples,robust_acc
0,1000,0.148
1,1000,0.287
2,1000,0.345
3,1000,0.322
4,1000,0.261
5,1000,0.093
6,1000,0.192
7,1000,0.226
8,1000,0.287
9,1000,0.342
