class,num_samples,robust_acc
0,499,0.44889779559118237
1,499,0.5531062124248497
2,478,0.18410041841004185
3,511,0.09980430528375733
4,478,0.1799163179916318
5,488,0.29918032786885246
6,514,0.44163424124513617
7,501,0.43912175648702595
8,515,0.6174757281553398
9,517,0.4700193423597679
