class,num_samples,robust_acc
0,499,0.561122244488978
1,499,0.6693386773547094
2,478,0.17573221757322174
3,511,0.12133072407045009
4,478,0.200836820083682
5,488,0.3729508196721312
6,514,0.4669260700389105
7,501,0.5449101796407185
8,515,0.4407766990291262
9,517,0.6286266924564797
