class,num_samples,robust_acc
0,1000,0.16
1,1000,0.008
2,1000,0.149
3,1000,0.074
4,1000,0.13
5,1000,0.001
6,1000,0.144
7,1000,0.001
8,1000,0.039
9,1000,0.026
