class,num_samples,robust_acc
0,1000,0.523
1,1000,0.543
2,1000,0.153
3,1000,0.106
4,1000,0.194
5,1000,0.314
6,1000,0.557
7,1000,0.479
8,1000,0.59
9,1000,0.45
