class,num_samples,robust_acc
0,1000,0.001
1,1000,0.055
2,1000,0.021
3,1000,0.018
4,1000,0.014
5,1000,0.006
6,1000,0.014
7,1000,0.007
8,1000,0.111
9,1000,0.022
