class,num_samples,robust_acc
0,1000,0.185
1,1000,0.425
2,1000,0.378
3,1000,0.253
4,1000,0.23
5,1000,0.209
6,1000,0.341
7,1000,0.272
8,1000,0.45
9,1000,0.511
