class,num_samples,robust_acc
0,1000,0.448
1,1000,0.578
2,1000,0.226
3,1000,0.126
4,1000,0.205
5,1000,0.305
6,1000,0.529
7,1000,0.478
8,1000,0.657
9,1000,0.536
