class,num_samples,robust_acc
0,499,0.533066132264529
1,499,0.5490981963927856
2,478,0.13598326359832635
3,511,0.08610567514677103
4,478,0.19246861924686193
5,488,0.2889344262295082
6,514,0.4961089494163424
7,501,0.4590818363273453
8,515,0.596116504854369
9,517,0.43133462282398455
