epoch,defense,lr,wall_time_sec,train_loss,train_acc,attack_mix,attack_counts,val_loss,val_acc,pgd7_val_acc
1,pgd_at,0.0996057350657239,250.93779242411256,2.2157215809822084,0.180078125,"{""pgd"": 1.0}","{""pgd"": 100}",2.047276382827759,0.266,0.150390625
2,pgd_at,0.09842915805643156,502.04869663901627,2.086909599304199,0.216328125,"{""pgd"": 1.0}","{""pgd"": 100}",1.8076211395263673,0.3178,0.20703125
3,pgd_at,0.09648882429441258,753.1588885039091,2.035085315704346,0.240703125,"{""pgd"": 1.0}","{""pgd"": 100}",1.7758453433990478,0.3624,0.228515625
4,pgd_at,0.09381533400219319,1004.2655327953398,1.9967395782470703,0.24625,"{""pgd"": 1.0}","{""pgd"": 100}",1.7075900787353515,0.3658,0.24609375
5,pgd_at,0.0904508497187474,1255.3543656039983,1.9647378396987916,0.257109375,"{""pgd"": 1.0}","{""pgd"": 100}",1.6976685298919678,0.3736,0.2265625
6,pgd_at,0.0864484313710706,1506.35825641267,1.9329193592071534,0.268828125,"{""pgd"": 1.0}","{""pgd"": 100}",1.6637542854309082,0.4064,0.23828125
7,pgd_at,0.0818711994874345,1757.3509110324085,1.923696632385254,0.276875,"{""pgd"": 1.0}","{""pgd"": 100}",1.6220943454742431,0.4142,0.2734375
8,pgd_at,0.07679133974894983,2008.4607143998146,1.8801326179504394,0.288515625,"{""pgd"": 1.0}","{""pgd"": 100}",1.5572166347503662,0.4358,0.30078125
9,pgd_at,0.07128896457825364,2259.5580878444016,1.864711799621582,0.294765625,"{""pgd"": 1.0}","{""pgd"": 100}",1.5125956398010254,0.4348,0.28125
10,pgd_at,0.06545084971874737,2510.4496778026223,1.8384711313247681,0.30578125,"{""pgd"": 1.0}","{""pgd"": 100}",1.507859376335144,0.4342,0.28125
11,pgd_at,0.05936906572928624,2761.3308186959475,1.7991162157058715,0.318828125,"{""pgd"": 1.0}","{""pgd"": 100}",1.4769296102523803,0.4914,0.28125
12,pgd_at,0.05313952597646568,3012.294626299292,1.787463526725769,0.3275,"{""pgd"": 1.0}","{""pgd"": 100}",1.4364493175506592,0.502,0.3125
13,pgd_at,0.04686047402353434,3263.392202684656,1.7700099420547486,0.335625,"{""pgd"": 1.0}","{""pgd"": 100}",1.386859492111206,0.4976,0.322265625
14,pgd_at,0.04063093427071378,3514.377073176205,1.7455214071273804,0.338359375,"{""pgd"": 1.0}","{""pgd"": 100}",1.3784635452270508,0.5138,0.3046875
15,pgd_at,0.03454915028125265,3616.093672223389,1.7266594783679858,0.3407939189189189,"{""pgd"": 1.0}","{""pgd"": 37}",1.3397910167694091,0.529,0.294921875
