epoch,defense,lr,wall_time_sec,train_loss,train_acc,attack_mix,attack_counts,val_loss,val_acc
1,standard,0.09990133642141358,42.59253504499793,2.2053759798897636,0.23026666666136847,"{""clean"": 1.0}","{""clean"": 352}",1.8170731391906738,0.3238
2,standard,0.0996057350657239,85.06160514988005,1.658816753853692,0.3870444444497426,"{""clean"": 1.0}","{""clean"": 352}",1.5130814125061036,0.4448
3,standard,0.09911436253643444,127.51139635778964,1.4535245792388916,0.4719555555608537,"{""clean"": 1.0}","{""clean"": 352}",1.4367978939056396,0.4884
4,standard,0.09842915805643154,169.9464184511453,1.2744077613830567,0.5417555555449591,"{""clean"": 1.0}","{""clean"": 352}",1.2462292366027832,0.5668
5,standard,0.09755282581475767,212.40919550694525,1.120698632674747,0.6016888889312744,"{""clean"": 1.0}","{""clean"": 352}",1.1037844314575196,0.6114
6,standard,0.09648882429441256,254.87268015369773,1.0179090571509468,0.6402444444868299,"{""clean"": 1.0}","{""clean"": 352}",1.1543054569244384,0.5916
7,standard,0.09524135262330098,297.29163304902613,0.9451760592142741,0.669755555566152,"{""clean"": 1.0}","{""clean"": 352}",1.183780171585083,0.5932
8,standard,0.09381533400219318,339.68700563907623,0.8811825590981377,0.6909555555767484,"{""clean"": 1.0}","{""clean"": 352}",1.0887601043701172,0.625
9,standard,0.09221639627510075,382.090070810169,0.8341270128144158,0.7132222222540113,"{""clean"": 1.0}","{""clean"": 352}",0.9085790691375732,0.6836
10,standard,0.09045084971874737,424.558223195374,0.7862736463652716,0.730377777756585,"{""clean"": 1.0}","{""clean"": 352}",0.8268986064910888,0.7212
11,standard,0.08852566213878946,467.0321605950594,0.7679196350097657,0.7364222222752042,"{""clean"": 1.0}","{""clean"": 352}",1.2991397066116332,0.6008
12,standard,0.08644843137107057,509.4298884216696,0.7476377847035726,0.7426444444126553,"{""clean"": 1.0}","{""clean"": 352}",1.1756686408996582,0.6142
13,standard,0.08422735529643442,551.8427102267742,0.727648197608524,0.7497999999894036,"{""clean"": 1.0}","{""clean"": 352}",0.8163387777328491,0.7298
14,standard,0.08187119948743447,594.333070602268,0.7223096925311618,0.7542444444444445,"{""clean"": 1.0}","{""clean"": 352}",1.1643977403640746,0.6242
15,standard,0.07938926261462366,636.7607632465661,0.700509482161204,0.7588888889100817,"{""clean"": 1.0}","{""clean"": 352}",0.8120351146697998,0.724
16,standard,0.07679133974894982,679.1477312110364,0.6917783992767333,0.763622222243415,"{""clean"": 1.0}","{""clean"": 352}",0.8551911809921264,0.7154
17,standard,0.07408768370508576,721.5639267154038,0.6746536626074049,0.7689555555767483,"{""clean"": 1.0}","{""clean"": 352}",0.8258274287223816,0.7264
18,standard,0.07128896457825362,763.9717923551798,0.6652854907141792,0.7726000000105964,"{""clean"": 1.0}","{""clean"": 352}",1.0581551885604858,0.6472
