epoch,defense,lr,wall_time_sec,train_loss,train_acc,attack_mix,attack_counts,val_loss,val_acc,pgd7_val_acc
1,fixed_mixed_at,0.09972609476841367,54.83862227015197,2.164476158618927,0.1925,"{""clean"": 0.5, ""fgsm"": 0.5}","{""clean"": 37, ""fgsm"": 63}",1.8626274673461913,0.3102,0.19921875
2,fixed_mixed_at,0.09890738003669028,104.24100296199322,1.9671185398101807,0.270859375,"{""clean"": 0.5, ""fgsm"": 0.5}","{""clean"": 56, ""fgsm"": 44}",1.7476766658782958,0.357,0.208984375
3,fixed_mixed_at,0.09755282581475767,154.87986733019352,1.8989171004295349,0.286875,"{""clean"": 0.5, ""fgsm"": 0.5}","{""clean"": 52, ""fgsm"": 48}",1.6825647304534912,0.3756,0.19140625
4,fixed_mixed_at,0.09567727288213003,206.57375868596137,1.854041018486023,0.304453125,"{""clean"": 0.5, ""fgsm"": 0.5}","{""clean"": 48, ""fgsm"": 52}",1.7478556640625,0.3902,0.216796875
5,fixed_mixed_at,0.09330127018922194,258.3701270055026,1.8328208923339844,0.309921875,"{""clean"": 0.5, ""fgsm"": 0.5}","{""clean"": 48, ""fgsm"": 52}",1.6288914138793946,0.3754,0.166015625
6,fixed_mixed_at,0.09045084971874737,306.7803442850709,1.7364659595489502,0.3484375,"{""clean"": 0.5, ""fgsm"": 0.5}","{""clean"": 59, ""fgsm"": 41}",1.5305631278991698,0.4386,0.25390625
7,fixed_mixed_at,0.0871572412738697,356.26525272987783,1.7055527949333191,0.366875,"{""clean"": 0.5, ""fgsm"": 0.5}","{""clean"": 56, ""fgsm"": 44}",1.4215028759002686,0.4784,0.19921875
8,fixed_mixed_at,0.0834565303179429,405.9121923688799,1.691271617412567,0.373359375,"{""clean"": 0.5, ""fgsm"": 0.5}","{""clean"": 55, ""fgsm"": 45}",1.3957934303283692,0.5052,0.224609375
9,fixed_mixed_at,0.07938926261462365,457.6097859144211,1.677315752506256,0.380625,"{""clean"": 0.5, ""fgsm"": 0.5}","{""clean"": 48, ""fgsm"": 52}",1.3433158317565919,0.5154,0.220703125
10,fixed_mixed_at,0.07499999999999998,646.4143501650542,1.7627908682823181,0.339375,"{""clean"": 0.3, ""pgd"": 0.7}","{""clean"": 29, ""pgd"": 71}",1.3947414363861084,0.501,0.275390625
11,fixed_mixed_at,0.07033683215379001,837.341620054096,1.7103098845481872,0.359453125,"{""clean"": 0.3, ""pgd"": 0.7}","{""clean"": 28, ""pgd"": 72}",1.3340831775665283,0.5302,0.25390625
12,fixed_mixed_at,0.06545084971874737,1024.0062607303262,1.692986124753952,0.37484375,"{""clean"": 0.3, ""pgd"": 0.7}","{""clean"": 30, ""pgd"": 70}",1.3599743894577025,0.5328,0.279296875
13,fixed_mixed_at,0.06039558454088796,1202.2009853404015,1.6289160752296448,0.39453125,"{""clean"": 0.3, ""pgd"": 0.7}","{""clean"": 34, ""pgd"": 66}",1.3300186855316163,0.5232,0.31640625
14,fixed_mixed_at,0.05522642316338268,1408.1418553106487,1.6848364436626435,0.36984375,"{""clean"": 0.3, ""pgd"": 0.7}","{""clean"": 21, ""pgd"": 79}",1.2963948680877686,0.5606,0.30859375
15,fixed_mixed_at,0.05000000000000001,1599.0633961744606,1.6241874408721924,0.394296875,"{""clean"": 0.3, ""pgd"": 0.7}","{""clean"": 28, ""pgd"": 72}",1.274660396194458,0.5474,0.33203125
16,fixed_mixed_at,0.04477357683661733,1785.6964807566255,1.5927129769325257,0.409765625,"{""clean"": 0.3, ""pgd"": 0.7}","{""clean"": 30, ""pgd"": 70}",1.205207611846924,0.6006,0.326171875
17,fixed_mixed_at,0.03960441545911203,1985.2100229263306,1.5955631196498872,0.408203125,"{""clean"": 0.3, ""pgd"": 0.7}","{""clean"": 24, ""pgd"": 76}",1.2156888946533204,0.584,0.328125
