epoch,defense,lr,wall_time_sec,train_loss,train_acc,attack_mix,attack_counts,val_loss,val_acc,pgd7_val_acc
1,fixed_mixed_at,0.09972609476841367,51.98495829664171,2.1714646005630494,0.19671875,"{""clean"": 0.5, ""fgsm"": 0.5}","{""clean"": 47, ""fgsm"": 53}",2.094547603225708,0.2472,0.140625
2,fixed_mixed_at,0.09890738003669028,102.09504049643874,1.9618855619430542,0.264296875,"{""clean"": 0.5, ""fgsm"": 0.5}","{""clean"": 54, ""fgsm"": 46}",1.7404477634429931,0.3456,0.1953125
3,fixed_mixed_at,0.09755282581475767,153.3622138313949,1.9078122901916503,0.2896875,"{""clean"": 0.5, ""fgsm"": 0.5}","{""clean"": 50, ""fgsm"": 50}",1.7080627765655518,0.3696,0.236328125
4,fixed_mixed_at,0.09567727288213003,203.48006081953645,1.842149305343628,0.306171875,"{""clean"": 0.5, ""fgsm"": 0.5}","{""clean"": 54, ""fgsm"": 46}",1.6055676132202148,0.4008,0.203125
5,fixed_mixed_at,0.09330127018922194,257.2771065235138,1.8475238990783691,0.309140625,"{""clean"": 0.5, ""fgsm"": 0.5}","{""clean"": 41, ""fgsm"": 59}",1.5779474645614624,0.4072,0.240234375
6,fixed_mixed_at,0.09045084971874737,310.5929809194058,1.7964945220947266,0.31828125,"{""clean"": 0.5, ""fgsm"": 0.5}","{""clean"": 43, ""fgsm"": 57}",1.5262495403289795,0.4388,0.22265625
7,fixed_mixed_at,0.0871572412738697,361.48367791995406,1.7403932952880858,0.3540625,"{""clean"": 0.5, ""fgsm"": 0.5}","{""clean"": 51, ""fgsm"": 49}",1.5665982421875,0.449,0.216796875
8,fixed_mixed_at,0.0834565303179429,413.8000763002783,1.7106001949310303,0.362734375,"{""clean"": 0.5, ""fgsm"": 0.5}","{""clean"": 46, ""fgsm"": 54}",1.474709405708313,0.4576,0.255859375
9,fixed_mixed_at,0.07938926261462365,468.8411873076111,1.7293429565429688,0.358359375,"{""clean"": 0.5, ""fgsm"": 0.5}","{""clean"": 37, ""fgsm"": 63}",1.4280726415634155,0.464,0.248046875
10,fixed_mixed_at,0.07499999999999998,662.0963705964386,1.7470442414283753,0.348671875,"{""clean"": 0.3, ""pgd"": 0.7}","{""clean"": 27, ""pgd"": 73}",1.4150657354354859,0.4786,0.28125
11,fixed_mixed_at,0.07033683215379001,842.5923982597888,1.6712637746334076,0.3784375,"{""clean"": 0.3, ""pgd"": 0.7}","{""clean"": 33, ""pgd"": 67}",1.4127998889923095,0.513,0.2578125
12,fixed_mixed_at,0.06545084971874737,1037.9994160421193,1.685635347366333,0.37484375,"{""clean"": 0.3, ""pgd"": 0.7}","{""clean"": 26, ""pgd"": 74}",1.336897940826416,0.5294,0.306640625
